iter	Passed	Remaining
972	13244	367
973	13257	353
974	13270	340
975	13283	326
976	13297	313
977	13310	299
978	13322	285
979	13334	272
980	13348	258
981	13361	244
982	13375	231
983	13388	217
984	13399	204
985	13415	190
986	13431	176
987	13444	163
988	13458	149
989	13471	136
990	13484	122
991	13496	108
992	13509	95
993	13522	81
994	13534	68
995	13548	54
996	13561	40
997	13573	27
998	13586	13
999	13598	0
